type,category,item_id,item_name_en,item_description_en,item_name_fr,item_description_fr
bows,Bows and Arrows,Weapon_Bow_016,Swallow Bow,"This bow is a favorite among Rito warriors. The bowstring has been specially engineered for aerial combat, which allows it to be drawn faster than a normal bow.",Arc de l'hirondelle,"Cet arc couramment utilisé chez les Piafs est idéal pour tirer dans les airs, sa conception particulière le rendant plus rapide à bander qu'un arc ordinaire."
bows,Bows and Arrows,Weapon_Bow_017,Falcon Bow,"A highly refined Rito-made bow created by a master Rito craftsman. Rito warriors favor it for its superior rate of fire, which helps them excel even further at aerial combat.",Arc du faucon,"Cet arc, fabriqué par un artisan piaf réputé, est très apprécié des guerriers piafs excellant dans les combats aériens et est plus rapide à bander qu'un arc ordinaire."
bows,Bows and Arrows,Weapon_Bow_026,Mighty Lynel Bow,"This massive Lynel bow sports a bowstring made from a metal so tough, mere Hylians have trouble drawing it back.",Arc du roi bestial,Un humain ordinaire éprouverait de grandes difficultés à bander cet arc de Lynel entièrement constitué de métal robuste.
bows,Bows and Arrows,Weapon_Bow_027,Dragonbone Boko Bow,"A Boko bow reinforced by fossils. Bokoblins handpicked the materials it's made from, so it boasts a respectable firepower.",Draco-arc boko,"Des os fossilisés, choisis par un Bokoblin avec la rigueur propre à son espèce, ont été fixés au bois de cet arc boko, augmentant ainsi sensiblement sa puissance."
bows,Bows and Arrows,Weapon_Bow_028,Great Eagle Bow,"A bow without equal wielded by the Rito Champion, Revali. It's said Revali could loose arrows with the speed of a gale, making him supreme in aerial combat.",Arc de l'aigle,"On dit que quand le Prodige Revali se battait dans les airs avec cet arc d'une grande rareté, il était si rapide que personne ne pouvait rivaliser avec lui."
bows,Bows and Arrows,Weapon_Bow_029,Phrenic Bow,A bow passed down through the Sheikah tribe. Concentrating before drawing the string will allow you to target distant enemies as easily as those nearby.,Arc de la dévotion,"On dit que cet arc sheikah focalise la concentration, permettant ainsi de tirer sur une cible éloignée comme si elle se trouvait à proximité."
bows,Bows and Arrows,Weapon_Bow_030,Steel Lizal Bow,This bow is wielded by Lizalfos who are expert marksmen. The metal that reinforces much of the weapon adds some additional weight but offers heightened durability.,Arc lézal en acier,"Seuls les meilleurs archers Lézalfos peuvent manier cet arc qui a été renforcé avec une grande quantité de métal, le rendant plus solide, mais aussi plus lourd."
bows,Bows and Arrows,Weapon_Bow_032,Savage Lynel Bow,This Lynel bow is made from a special steel found at the peak of Death Mountain. It has tremendous stopping power and can pierce thick armor as easily as thin paper.,Arc du dieu bestial,"Forgé dans un métal extrait de la cime de la montagne de la Mort, cet arc de Lynel tire plusieurs flèches avec tant de force qu'elles traversent les armures les plus épaisses."
bows,Bows and Arrows,Weapon_Bow_033,Royal Guard's Bow,"This prototype Sheikah-made bow was designed to fight the Great Calamity. Made with ancient technology, it boasts a high rate of fire and firepower but has low durability.",Arc de garde royal,"Les Sheikahs ont conçu cet arc expérimental selon d'anciennes technologies pour contrer le Grand Fléau. Sa puissance et sa vitesse de tir sont élevées, sa résistance réduite."
bows,Bows and Arrows,Weapon_Bow_035,Knight's Bow,"The sturdy metal construction of this bow offers superior durability, while its lack of firing quirks makes it quite reliable. Once favored by the knights at Hyrule Castle.",Arc de chevalier,Cet arc de facture classique qu'utilisaient les chevaliers d'Hyrule donne à son archer une grande stabilité et le métal dans lequel il a été forgé le rend particulièrement solide.
bows,Bows and Arrows,Weapon_Bow_036,Royal Bow,"In the past, the king of Hyrule presented this bow to only the most talented archers in the land. Its combat capabilities are as impressive as its extravagant design.",Arc royal,Le roi n'offrait cette arme qu'aux chevaliers d'Hyrule ayant prouvé leur valeur au tir à l'arc. Sa somptueuse extravagance n'a d'égale que sa puissance d'attaque.
bows,Bows and Arrows,Weapon_Bow_038,Wooden Bow,"This wooden bow may not be the most reliable for battling monsters, but it is excellent for hunting small animals.",Arc en bois,"Cet arc en bois, idéal pour chasser du petit gibier, est peu efficace contre les monstres."
bows,Bows and Arrows,Weapon_Bow_040,Duplex Bow,A bow favored by the skilled archers of the Yiga Clan. It's been engineered to fire two arrows at once to ensure your target comes to a swift and none-too-pleasant halt.,Arc à double encoche,Seuls les membres du gang des Yigas s'étant distingués à l'archerie peuvent se servir de cet arc qui permet de décocher deux flèches à la fois afin d'abattre à coup sûr sa cible.
bows,Bows and Arrows,Weapon_Bow_072,Dusk Bow,A bow that's been in the royal family for ages. Said to have been used by a princess who fought beasts of twilight. It forcefully fires long-range arrows.,Arc crépusculaire,"Armée de cet arc qui appartint longtemps à la famille royale, une princesse affronta un jour une bête du Crépuscule avec le Héros. Ses traits filent droit et loin."
bows,Bows and Arrows,Weapon_Bow_101,Zonaite Bow,"A Zonai bow that draws power from your Energy Cell. Power drains, and arrows can fly much farther according to how long a shot is charged.",Arc de sonium,"Cet arc fonctionne à l'énergie soneau. Plus vous le maintenez bandé avant de tirer votre flèche, plus la portée et la dépense en énergie soneau augmenteront."
bows,Bows and Arrows,Weapon_Bow_104,Construct Bow,"A bow used by a Captain Construct. Though simply built, it is made of fireproof materials and won't catch fire as wooden bows do.",Arc de Golem,"Cet arc utilisé par les Golems supérieurs est d'une conception simple, mais contrairement aux arcs en bois, il est fait dans un matériau ininflammable."
bows,Bows and Arrows,Weapon_Bow_105,Strong Construct Bow,"A sturdy bow for a Captain Construct. Besides being fireproof, it's been strengthened to allow for more powerful shots.",Arc de Golem renforcé,Cet arc renforcé utilisé par les Golems supérieurs ne s'enflamme pas lorsqu'il est soumis à de hautes températures et permet d'effectuer des tirs plus puissants.
bows,Bows and Arrows,Weapon_Bow_106,Mighty Construct Bow,"A powerful bow for a Captain Construct. Though still fireproof, it's more complex than earlier models. The bowstring is extremely tense and requires great strength to draw.",Arc de Golem surpuissant,Ce puissant arc dont se servent les Golems supérieurs est ininflammable et sa structure est assez complexe. La corde est si tendue que son utilisation requiert une grande force.
bows,Bows and Arrows,Weapon_Bow_107,Old Wooden Bow,"A wooden bow from the olden days. It's built for hunting, but it's not very powerful.",Vieil arc en bois,Cet arc en bois des jours anciens a été conçu pour la chasse et n'est pas très puissant.
bows,Bows and Arrows,Weapon_Bow_166,Demon King's Bow,"A magical bow prized by the Demon King. Its performance reflects the power of its wielder. The higher your maximum number of hearts, the more its attack power increases.",Arc du roi démon,"Cet arc maléfique était l'arc de prédilection du roi démon. Plus son porteur a de réceptacles de cœur, plus sa puissance d'attaque est élevée."
weapons,Weapons,Weapon_Lsword_001,Traveler's Claymore,A basic two-handed sword once wielded by aspiring adventurers. Its immense weight can knock enemies' shields right out of their hands.,Espadon de voyageur,"Cette épée était très appréciée des voyageurs, qui tiraient parti de son poids important pour envoyer voler le bouclier de l'ennemi qui tenterait de se protéger."
weapons,Weapons,Weapon_Lsword_002,Soldier's Claymore,"An improved claymore, made lightweight for easier handling. It consumes less stamina for charged attacks.",Espadon de soldat,Cette épée a été optimisée pour le combat et bénéficie notamment d'un poids réduit. Les attaques chargées effectuées avec cette arme consomment moins d'endurance.
weapons,Weapons,Weapon_Lsword_003,Knight's Claymore,Only the strongest of Hyrule Castle's knights carried this two-handed sword. It can yield powerful attacks when you're down to your last heart.,Espadon de chevalier,Seuls les chevalier d'Hyrule les plus aguerris sont capables de manier cette longue épée. Sa puissance d'attaque augmente quand il ne vous reste qu'un seul cœur.
weapons,Weapons,Weapon_Lsword_019,Moblin Arm,A Moblin bone that continues to move even after being detached from its body. The bone is thick enough to be used as a weapon but is extremely brittle and easily broken.,Os de Moblin,"Ce vigoureux bras de Moblin, qui faisait autrefois partie d'un squelette entier, est long et épais et peut tout à fait servir d'arme."
weapons,Weapons,Weapon_Lsword_020,Rusty Claymore,"A two-handed sword not properly cared for. Although it can be used as a weapon, its durability is very low. Don't expect it to last for more than a few strikes.",Espadon rouillé,"Abandonnée depuis longtemps, cette épée peut encore servir d'arme, mais a été fragilisée par la rouille et se brisera après seulement quelques coups."
weapons,Weapons,Weapon_Lsword_024,Royal Claymore,A two-handed sword issued to the Hyrulean royal family's immediate guard detail. Yields a powerful strike and increases the power of flurry rush during perfect dodge.,Espadon royal,"Arme de prédilection des soldats de la garde rapprochée de la famille royale, cette épée délivre de puissantes attaques et renforce la contre-attaque après une esquive optimale."
weapons,Weapons,Weapon_Lsword_027,Zora Longsword,A longsword made by the Zora using a special metal. It's rarely used because the Zora prefer to use spears. It yields high attack power when it gets wet.,Longue épée zora,"Les Zoras préférant généralement la lance, cette épée a très peu servi. Forgée dans un métal spécial, elle inflige plus de dégâts quand elle est mouillée."
weapons,Weapons,Weapon_Lsword_029,Gerudo Claymore,Only the most talented Gerudo sword fighters carry this two-handed sword. Attaching a material greatly enhances the material's power but doesn't add as much durability.,Espadon gerudo,"Arme des soldates gerudos les plus douées, cet espadon exploite au maximum le potentiel des matériaux qu'on y attache, faute de gagner beaucoup en durabilité."
weapons,Weapons,Weapon_Lsword_036,Cobble Crusher,"A Goron-made two-handed weapon. It's made from thick, hard metal and has no cutting edge, but its weight and hard surface make it a great tool for breaking rocks.",Casse-pierre,"Cette épée goron à deux mains, forgée dans un métal solide, ne peut pas trancher, mais son poids et sa dureté sont telles qu'elle est parfaite pour creuser les parois rocheuses."
weapons,Weapons,Weapon_Lsword_038,Boat Oar,"Made for paddling boats, but it was made sturdy enough to fight strong currents. Maybe it's useful for self-defense in a pinch.",Rame,"Conçu dans un bois résistant, cet outil que l'on trouve dans toute bonne embarcation est aussi assez efficace comme moyen de défense."
weapons,Weapons,Weapon_Lsword_041,Eightfold Longblade,"A single-edged sword seldom seen in Hyrule. This weapon is passed down through the Sheikah tribe. When wielded by a proficient fighter, it cleaves wind and creates vacuum.",Sabre de la défiance,"Cette épée au tranchant incomparable, qui se transmet de génération en génération au sein du clan sheikah, permet de créer des lames de vide à chaque coup porté."
weapons,Weapons,Weapon_Lsword_045,Farming Hoe,"A farming tool primarily used for tilling fields. Its fine craftsmanship is sturdy enough to withstand backbreaking fieldwork, but its battle applications are untested.",Houe,"Cet outil agricole sert habituellement à travailler la terre et à labourer les champs, mais sa confection robuste en fait aussi une arme efficace."
weapons,Weapons,Weapon_Lsword_047,Royal Guard's Claymore,"The Sheikah used the very essence of ancient technology to forge this greatsword. It's low in durability, but its magic yields massive destructive power just before it breaks.",Espadon de garde royal,"Fleuron de la technologie sheikah, cette épée manque de solidité, mais sa puissance d'attaque augmente lorsqu'elle est sur le point de se briser."
weapons,Weapons,Weapon_Lsword_051,Giant Boomerang,"This massive boomerang requires two hands. Originally used for hunting, it was modified for use as a weapon. The blades on the inner curves make it a bit tricky to wield.",Grand boomerang,"Doté d'une lame sur sa courbure intérieure, trop grand pour être manié d'une seule main, c'est une arme difficile à utiliser, modifiée pour servir au combat plutôt qu'à la chasse."
weapons,Weapons,Weapon_Lsword_054,Boulder Breaker,"This two-handed weapon was once wielded by the Goron Champion Daruk. Daruk made swinging it around look easy, but a Hylian would need an immense amount of strength.",Brise-montagne,"Si le grand Daruk maniait avec aisance cette épée forgée dans le plus dur des métaux, il n'en va pas de même pour les humains, et seuls les meilleurs bretteurs peuvent l'utiliser."
weapons,Weapons,Weapon_Lsword_057,Dusk Claymore,A slender claymore thought to have been handed down to the kingdom of Hyrule ages ago. The blade shines with a holy luster.,Longue épée crépusculaire,Cette longue épée d'une grande finesse appartient au royaume d'Hyrule depuis la nuit des temps. Sa lame brille d'une mystérieuse lueur opaline.
weapons,Weapons,Weapon_Lsword_059,Biggoron's Sword,A legendary greatsword forged by a Goron craftsman for a hero who traveled through time. The exceptionally sharp cutting edge is a testament to the craftsman's mastery.,Épée de Biggoron,Le tranchant extraordinaire de cette épée légendaire reflète le talent exceptionnel du forgeron goron qui l'aurait façonnée pour le Héros traversant le temps.
weapons,Weapons,Weapon_Lsword_060,Fierce Deity Sword,A peculiar greatsword allegedly used by a hero from a world in which the moon threatened to fall. It slashes wildly in battle as if possessed by a Fierce Deity.,Espadon du Dieu démon,"Cette épée à la forme singulière, qui aurait appartenu au Héros d'un monde menacé par la lune, donne à son porteur des allures de Dieu démon."
weapons,Weapons,Weapon_Lsword_101,Zonaite Longsword,A large sword used by the Zonai and made of zonaite. It resonates with attached Zonai devices to slightly increase its attack power.,Espadon de sonium,Cette longue épée de sonium était utilisée par les Soneaus. Attachez-lui un matériau ou artéfact soneau et son attaque augmentera légèrement plus qu'avec d'autres matériaux.
weapons,Weapons,Weapon_Lsword_103,Thick Stick,"A stick cut off from a large tree. It isn't very sturdy, but its heavier end can swat a shield away.",Gourdin,"Taillé dans une grosse branche d'arbre, ce gourdin n'est pas très solide mais son poids conséquent permet de faire voler le bouclier de l'ennemi."
weapons,Weapons,Weapon_Lsword_106,Traveler's Claymore,"A basic two-handed sword once wielded by aspiring adventurers. It's decayed and no longer cuts well, but it can still knock a shield right out of enemies' hands.",Espadon de voyageur,"Cette épée était très appréciée des voyageurs. Son tranchant est émoussé par la corrosion, mais elle est toujours capable d'envoyer voler le bouclier de l'ennemi."
weapons,Weapons,Weapon_Lsword_108,Sturdy Thick Stick,"A solid stick cut from the crooked branch of a tough tree. It has high durability, despite the way it looks.",Gourdin solide,Ce dur gourdin taillé dans une épaisse branche est bien plus résistant qu'il n'y paraît.
weapons,Weapons,Weapon_Lsword_109,Gnarled Thick Stick,A stick cut from a tree trunk. It's been dried to increase its hardness. It has high attack power for something made of wood.,Gourdin noueux,"Taillé directement dans le tronc d'un arbre, puis séché pour en augmenter la dureté, ce gourdin inflige des dégâts si lourds qu'on a peine à croire que c'est du simple bois."
weapons,Weapons,Weapon_Lsword_112,Soldier's Claymore,"A lightweight metal weapon forged for royal soldiers. It's decayed now, but still easy to wield, so it consumes less stamina during charge attacks.",Espadon de soldat,Les soldats peuvent manier cette épée sans se fatiguer grâce à son poids réduit. Les attaques chargées effectuées avec cette arme consomment moins d'endurance.
weapons,Weapons,Weapon_Lsword_113,Knight's Claymore,"A claymore, now decayed, once carried by knights of Hyrule. It resonates with the desire to protect at all costs and can yield powerful attacks when you're down to your last heart.",Espadon de chevalier,"Pour les chevaliers d'Hyrule, cette épée symbolise leur désir de protéger ce qui est précieux. Sa puissance d'attaque augmente quand il ne vous reste plus qu'un cœur."
weapons,Weapons,Weapon_Lsword_114,Eightfold Longblade,"A longblade that no longer cuts as well as it once did, due to its decayed edge. However, when wielded by a proficient fighter, it cleaves the wind and creates a vacuum.",Sabre de la défiance,Cette épée longue à la lame corrodée a perdu son tranchant mais permet aux utilisateurs les plus experts de créer des lames de vide à chaque coup porté.
weapons,Weapons,Weapon_Lsword_124,Royal Claymore,"A large sword, now decayed, issued to the royal family's guard. It's tuned for skilled users and yields a powerful flurry rush during a perfect dodge.",Espadon royal,"Arme de prédilection des soldats de la garde rapprochée de la famille royale, cette épée permet une contre-attaque puissante après une esquive optimale."
weapons,Weapons,Weapon_Lsword_127,Zora Longsword,"A decayed Zora longsword, it's suited for battles near water because it's made of an unusual metal that increases attack power when it's wet.",Longue épée zora,Le métal dans lequel cette longue épée zora à la lame corrodée a été forgé augmente la puissance d'attaque de l'arme quand elle est mouillée.
weapons,Weapons,Weapon_Lsword_129,Gerudo Claymore,A two-handed Gerudo sword with a decayed blade. Attaching a material greatly enhances the material's power but doesn't add as much durability.,Espadon gerudo,Cet espadon à la lame corrodée exploite au maximum le potentiel du matériau qu'on y attache faute de gagner beaucoup en durabilité.
weapons,Weapons,Weapon_Lsword_136,Cobble Crusher,"In its former state, this hefty weapon knocked out many a foe. Decayed, it still packs a punch and is great for breaking rocks.",Casse-pierre,La force principale de cette arme aujourd'hui corrodée résidait dans son poids considérable qui assommait en un coup. Elle brise toujours les rochers et permet de creuser les parois.
weapons,Weapons,Weapon_Lsword_147,Royal Guard's Claymore,"A decayed claymore prototype for the royal guard. It's made of a metal refined using an unusual method, and it holds massive destructive power just before it breaks.",Espadon de garde royal,Cette épée prototype destinée aux gardes royaux a été forgée dans un métal raffiné. Son attaque gagne en puissance quand elle est sur le point de se briser.
weapons,Weapons,Weapon_Lsword_161,Magic Scepter,"A long and mysterious magical rod, it's said to have been wielded by an ancient magician who awoke the latent power of gems.",Grande baguette magique,Une faible aura magique émane de cette baguette. Elle aurait appartenu à un mage qui s'en servait pour éveiller le pouvoir latent des gemmes.
weapons,Weapons,Weapon_Lsword_163,Strong Zonaite Longsword,"A strong, large sword used by the Zonai and made of zonaite. It resonates with attached Zonai devices to increase some of its attack power.",Espadon de sonium robuste,Cette longue épée solide était utilisée par les Soneaus. Attachez-lui un matériau ou artéfact soneau et son attaque augmentera plus qu'avec d'autres matériaux.
weapons,Weapons,Weapon_Lsword_164,Mighty Zonaite Longsword,"A powerful, large sword used by Zonai and made of zonaite. It resonates with attached Zonai devices to greatly increase its attack power.",Espadon de sonium surpuissant,Cette longue épée puissante était utilisée par les Soneaus. Attachez-lui un matériau ou artéfact soneau et son attaque augmentera beaucoup plus qu'avec d'autres matériaux.
weapons,Weapons,Weapon_Lsword_166,Gloom Club,A metal stick filled with madness and symbolic of doom. Its forceful strike can smash an object to pieces. Its gloom will gradually wear down the body of its wielder.,Massue miasmatique,Un tragique sentiment de folie semble émaner de cette redoutable masse de métal. Le corps de son porteur est progressivement rongé par des miasmes.
weapons,Weapons,Weapon_Lsword_168,Thick Stick,"A thick bat cut from a large tree. It's not the sturdiest weapon, but its heavy end does have a bit of power behind it.",Gourdin,"Taillé dans une grosse branche d'arbre, cette arme n'est pas très solide mais son poids conséquent permet d'infliger des coups avec une certaine puissance."
weapons,Weapons,Weapon_Lsword_174,Giant Boomerang,"A massive boomerang that is weathered and decayed. It was originally used for hunting, but it can be a challenge to wield. Thrown well, it will come back to the thrower.",Grand boomerang,"Cet imposant boomerang à la lame corrodée a été conçu pour la chasse. Correctement lancé, l'arme revient vers son porteur, mais cette technique est difficile à maîtriser."
weapons,Weapons,Weapon_Spear_001,Traveler's Spear,A spear used mainly by travelers to fend off wolves and other beasts. It's easy to hold and simple to use.,Lance de voyageur,"Avec son excellente tenue en main et son maniement aisé, cette lance est appréciée des voyageurs qui doivent se défendre des animaux sauvages tels que le loup."
weapons,Weapons,Weapon_Spear_002,Soldier's Spear,A long spear once used by the guards of Hyrule Castle. Easy to use but difficult to master. Enables quicker charged attacks.,Lance de soldat,Un entraînement rigoureux est nécessaire au bon maniement de cette longue lance réservée aux soldats du château. Elle permet des attaques chargées plus rapides.
weapons,Weapons,Weapon_Spear_003,Knight's Halberd,A spear used by knights adept in mounted combat. The spearhead is modeled after an axe. It can yield powerful attacks when you're down to your last heart.,Hallebarde de chevalier,"Équipé de cette lance surmontée d'un fer de hache et d'un crochet, votre puissance d'attaque augmente quand il ne vous reste plus qu'un seul cœur."
weapons,Weapons,Weapon_Spear_021,Rusty Halberd,"A rusty polearm likely used by knights from an age past. The spearhead is in bad shape due to prolonged exposure to the elements, so its durability is low.",Hallebarde rouillée,La pluie et le vent ont depuis longtemps éprouvé la solidité du fer de cette arme qui a probablement appartenu à un chevalier des temps anciens.
weapons,Weapons,Weapon_Spear_022,Farmer's Pitchfork,A farming tool used to collect hay efficiently. It's light enough to be used by anyone. The four prongs are very sharp.,Fourche,Cet outil agricole à quatre dents acérées est conçu pour ramasser le foin en un tour de main. Il est si léger que n'importe qui peut l'utiliser.
weapons,Weapons,Weapon_Spear_024,Royal Halberd,This spear was issued to the knights who guarded Hyrule Castle's throne room. It yields a powerful flurry rush during a perfect dodge.,Hallebarde royale,"Cette lance était réservée aux chevaliers d'Hyrule affectés à la protection du château. Après une esquive optimale, elle permet une contre-attaque puissante."
weapons,Weapons,Weapon_Spear_025,Forest Dweller's Spear,"The Koroks made this spear for Hylians. The shaft is made from a light, sturdy wood. Bursting materials attached to the spearhead can be reused again and again.",Lance des sylvains,"Fabriquée par les Korogus pour les humains, la hampe de cette lance est légère mais solide. Attachez-y un élément réagissant à l'impact et il pourra être utilisé à volonté."
weapons,Weapons,Weapon_Spear_027,Zora Spear,This spear is a Zora's weapon of choice. It's made from a special metal and is used by the Zora for both fishing and protecting home. It yields high attack power when it gets wet.,Lance zora,"Les Zoras se servent souvent de cette lance pour pêcher, mais aussi pour protéger leur domaine des envahisseurs. Mouillé, le métal spécial qui la compose inflige plus de dégâts."
weapons,Weapons,Weapon_Spear_029,Gerudo Spear,This spear was used widely by the Gerudo soldiers. Attaching a material greatly enhances the material's power but doesn't add as much durability.,Trident gerudo,"Très populaire auprès des Gerudos, ce trident exploite au maximum le potentiel du matériau qu'on y attache faute de gagner beaucoup en durabilité."
weapons,Weapons,Weapon_Spear_030,Throwing Spear,"A specialized spear weighted to excel as a throwing weapon. It's perfectly balanced to be thrown farther than your average spear, able to pierce targets from a great distance.",Javelot,"Conçue pour transpercer les cibles distantes, cette arme possède une portée surpassant celle des lances conventionnelles grâce à l'excellent équilibre entre la hampe et le fer."
weapons,Weapons,Weapon_Spear_032,Feathered Spear,Its lightweight design is a hallmark of Rito craftsmanship. It gives Rito warriors more maneuverability during aerial combat—and it produces a strong wind.,Lance rémige,Les soldats piafs prisent cette lance adaptée au combat aérien de par son faible poids. Elle produit une puissante bourrasque à chaque coup.
weapons,Weapons,Weapon_Spear_036,Wooden Mop,"Just a mop to the untrained eye, it excels at tidying up the place. But it owes its sturdy construction to a true craftsman, so it actually has some combat merit.",Balai à franges,Cet outil ménager bien pratique pour nettoyer le sol est l'œuvre d'un artisan. En témoigne sa solidité qui en fait même une arme de bonne facture.
weapons,Weapons,Weapon_Spear_038,Fishing Harpoon,A fisherman's tool that excels at catching large fish. Its particularly sharp spearhead makes it valuable as a weapon as well.,Harpon de pêcheur,Ce harpon pour poissons de grande taille à la pointe bien affûtée peut aussi servir d'arme. Devenez un pêcheur accompli en harponnant un poisson qui vous fuit !
weapons,Weapons,Weapon_Spear_047,Royal Guard's Spear,"This Sheikah-made spear was created using ancient technology. It has poor durability, but the magic it contains yields massive destructive power just before it breaks.",Hallebarde de garde royal,"Fleuron de la technologie sheikah, cette hallebarde manque de solidité, mais sa puissance d'attaque augmente lorsqu'elle est sur le point de se briser."
weapons,Weapons,Weapon_Spear_050,Lightscale Trident,"A spear of peerless grace cherished by the Zora Champion Mipha. Although Mipha specialized in healing abilities, her spearmanship was in a class all its own.",Lance d'écailles radieuse,"Cette lance raffinée appartenait au Prodige Mipha, qui, bien qu'elle se spécialisât dans le domaine de la guérison, aurait aussi été une lancière accomplie."
weapons,Weapons,Weapon_Spear_101,Zonaite Spear,A Zonai spear made of zonaite. It resonates with attached Zonai devices to slightly increase its attack power.,Lance de sonium,Cette lance était autrefois utilisée par les Soneaus. Attachez-lui un matériau ou artéfact soneau et son attaque augmentera légèrement plus qu'avec d'autres matériaux.
weapons,Weapons,Weapon_Spear_103,Long Stick,A long stick fashioned from a tree branch. Its straight shape makes it work well as a lunging weapon.,Long bâton,La longueur de ce bâton bien droit permet de frapper un ennemi tout en gardant ses distances.
weapons,Weapons,Weapon_Spear_106,Traveler's Spear,"An average spear carried by travelers for protection. It's decayed and doesn't cut well, but the shape makes it easy for anyone to handle.",Lance de voyageur,"Bien que corrodée et émoussée, cette lance à la prise en main facile est une arme très appréciée des voyageurs."
weapons,Weapons,Weapon_Spear_108,Sturdy Long Stick,"A long, durable stick made from a branch with good piercing power. It has high durability because it comes from the hardest part of the tree.",Long bâton solide,"Ce long bâton assez droit fait une arme d'estoc tout à fait correcte. Taillé dans un bois dur, il bénéficie d'une grande solidité."
weapons,Weapons,Weapon_Spear_109,Gnarled Long Stick,A long stick made bumpy at one end when its shoots were cut off. It has higher attack power than a normal stick.,Long bâton noueux,Ce bâton dont on a coupé les branches transversales présente des protubérances qui lui confèrent une puissance d'attaque supérieure.
weapons,Weapons,Weapon_Spear_112,Soldier's Spear,"Although now decayed, this lightweight metal spear was made for royal soldiers. Because it's light and easy to handle, it enables quicker charged attacks.",Lance de soldat,"Grâce à sa légèreté, cette lance en métal dont se servent les soldats du château permet d'effectuer les attaques chargées plus rapidement."
weapons,Weapons,Weapon_Spear_113,Knight's Halberd,"Now decayed, this halberd was made for knights of Hyrule. It reflects their courage in defending the kingdom. It can yield powerful attacks when you're down to your last heart.",Hallebarde de chevalier,Cette lance surmontée d'un fer de hache et d'un crochet est souvent utilisée par les chevaliers. Sa puissance d'attaque augmente quand il ne vous reste plus qu'un seul cœur.
weapons,Weapons,Weapon_Spear_124,Royal Halberd,"Although now decayed, this spear was once given to knights who guarded critical areas of Hyrule Castle. It enables a powerful flurry rush during a perfect dodge.",Hallebarde royale,"Destinée aux chevaliers gardant les zones les plus sensibles du château, cette arme est difficile à maîtriser mais permet une puissante contre-attaque après une esquive optimale."
